ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
F879A633B34746D2,classic_bike,33:20.3,37:43.8,Broadway & Cornelia Ave,13278,Broadway & Barry Ave,13137,41.945529,-87.646439,41.93758232,-87.64409781,member
2CAFA7E155BF8769,classic_bike,05:45.5,08:45.5,Ogden Ave & Chicago Ave,TA1305000020,Noble St & Milwaukee Ave,13290,41.89636246,-87.65406127,41.9007,-87.662607,member
9FBDAF54B475A6CA,classic_bike,04:12.0,06:42.7,Clark St & Drummond Pl,TA1307000142,Broadway & Barry Ave,13137,41.931248,-87.644336,41.93758232,-87.64409781,member
1C29D22B82836BD0,classic_bike,56:27.7,19:22.3,Cannon Dr & Fullerton Ave,13124,Broadway & Barry Ave,13137,41.92675599,-87.63442878,41.93758232,-87.64409781,member
9A3D9614E6AE2101,electric_bike,19:21.7,27:10.0,Cannon Dr & Fullerton Ave,13124,Broadway & Barry Ave,13137,41.92675599,-87.63442878,41.93758232,-87.64409781,member
9F455D5ED387B0EF,classic_bike,21:44.3,33:03.6,Cannon Dr & Fullerton Ave,13124,Broadway & Barry Ave,13137,41.92675599,-87.63442878,41.93758232,-87.64409781,member
C55E99DA7C356018,electric_bike,41:54.4,44:56.2,DuSable Lake Shore Dr & Diversey Pkwy,TA1309000039,Broadway & Barry Ave,13137,41.93259871,-87.63639593,41.93758232,-87.64409781,member
D5D375BB38BA8265,classic_bike,02:17.9,07:43.1,Broadway & Barry Ave,13137,Broadway & Barry Ave,13137,41.93758232,-87.64409781,41.93758232,-87.64409781,member
F89E9D8F2375AD54,classic_bike,11:28.2,17:18.4,LaSalle Dr & Huron St,KP1705001026,Sedgwick St & Huron St,TA1307000062,41.894877,-87.632326,41.894666,-87.638437,member
B84F66D820A3A902,classic_bike,42:30.5,46:55.6,Eckhart Park,13289,Ogden Ave & Chicago Ave,TA1305000020,41.89637337,-87.66098386,41.89636246,-87.65406127,member
26B0ABDCC3E7E10D,classic_bike,23:44.0,37:00.8,Clarendon Ave & Leland Ave,TA1307000119,Pine Grove Ave & Waveland Ave,TA1307000150,41.967968,-87.650001,41.94947274,-87.64645278,member
9AA534E0D00A385C,classic_bike,53:51.0,57:58.8,Dearborn St & Adams St,TA1305000005,LaSalle St & Adams St,KA1503000034,41.87935636,-87.62979104,41.87934437,-87.63198522,member
48E2C1EED97A6873,classic_bike,25:17.7,28:41.7,Franklin St & Illinois St,RN-,Sedgwick St & Huron St,TA1307000062,41.89102331,-87.63547987,41.894666,-87.638437,member
73CA4690F4062281,electric_bike,17:24.9,26:18.4,Rush St & Superior St,15530,LaSalle St & Adams St,KA1503000034,41.89579904,-87.62610781,41.87934437,-87.63198522,member
4225A1CD1D14CE32,electric_bike,02:54.2,11:44.6,Clinton St & Washington Blvd,WL-012,State St & Pearson St,TA1307000061,41.88338,-87.64117,41.897448,-87.628722,member
36076228F75210DD,electric_bike,01:32.5,08:13.0,Clinton St & Washington Blvd,WL-012,State St & Pearson St,TA1307000061,41.88338,-87.64117,41.897448,-87.628722,member
3D447B335D5A4025,electric_bike,02:58.4,10:43.0,Clinton St & Washington Blvd,WL-012,State St & Pearson St,TA1307000061,41.88338,-87.64117,41.897448,-87.628722,member
